"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Revision_Dirigida","Alcance_Lectura","Evidencia","Siguiente_Accion","Enlace_Aplicado_V6"
"RPM-2013-11-19:5892:1","RPM-2013-11-19:5892:2","Rodrigo Vergara Montes","True","123","387","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-11-19:5902:1","RPM-2013-11-19:5903:1","Rodrigo Vergara Montes","False","1435","3954","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2013-12-12:5961:1","RPM-2013-12-12:5962:1","Rodrigo Vergara Montes","False","1651","4905","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-01-16:5999:1","RPM-2014-01-16:5999:2","Rodrigo Vergara Montes","True","132","392","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","DUPLICADO_NO_FORMULA","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-01-16:6005:1","RPM-2014-01-16:6006:1","Rodrigo Vergara Montes","False","1557","3644","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-02-18:6054:1","RPM-2014-02-18:6055:1","Rodrigo Vergara Montes","False","1462","2728","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-04-17:6178:1","RPM-2014-04-17:6179:1","Rodrigo Vergara Montes","False","4160","924","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-05-15:6233:1","RPM-2014-05-15:6234:1","Rodrigo Vergara Montes","False","1412","4613","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-07-15:6339:1","RPM-2014-07-15:6340:1","Rodrigo Vergara Montes","False","3238","3354","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-09-11:6393:1","RPM-2014-09-11:6394:1","Sergio Lehmann Beresi","False","507","2286","SUJETO_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-09-11:6437:1","RPM-2014-09-11:6438:1","Rodrigo Vergara Montes","False","3089","1888","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-10-16:6483:1","RPM-2014-10-16:6484:1","Rodrigo Vergara Montes","False","5982","897","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-11-18:6516:1","RPM-2014-11-18:6517:1","Rodrigo Vergara Montes","False","3435","1677","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2014-12-11:6546:1","RPM-2014-12-11:6547:1","Rodrigo Vergara Montes","False","4380","822","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2015-04-16:6753:1","RPM-2015-04-16:6754:1","Rodrigo Vergara Montes","False","2665","3383","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2015-05-14:6805:1","RPM-2015-05-14:6806:1","Rodrigo Vergara Montes","False","3023","1590","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2015-06-11:6862:4","RPM-2015-06-11:6862:5","Alejandro Micco","True","1302","642","CONTEXTO_REVISADO","SUJETO_NOMBRE","FINAL_SIN_PUNTUACION;TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
"RPM-2015-06-11:6862:6","RPM-2015-06-11:6863:1","Rodrigo Vergara Montes","False","2292","2044","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","NO_EVALUADO_EN_ESTE_LOTE_NO_EQUIVALE_A_NUNCA_LEIDO","","Localizar fichas previas y comprobar su alcance antes de decidir una nueva lectura.","NO"
